participant,task,step,x0,x1,x2,x3,choice,target,time
0,18,1,1.76,-0.80,-0.13,-1.21,0,1,1704590.00
0,18,2,2.31,-2.80,0.80,0.59,0,0,1714155.00
0,18,3,0.14,1.74,-1.49,-0.35,1,1,1718161.00
0,18,4,1.72,-1.63,-1.96,1.15,1,0,1722041.00
0,18,5,-1.38,-1.38,1.94,1.64,1,0,1728726.00
0,18,6,1.16,-3.45,-1.02,-0.35,0,0,1732800.00
0,18,7,0.06,1.38,-1.18,-2.15,0,1,1737360.00
0,18,8,0.04,-0.91,-1.56,-0.38,0,1,1741549.00
0,18,9,1.07,-1.25,-1.51,0.21,0,0,1750688.00
0,19,0,2.62,-1.65,2.01,3.78,0,0,1759782.00
0,19,1,1.08,0.18,1.43,-1.60,0,1,1763498.00
0,19,2,1.68,-2.38,-0.14,1.56,1,0,1767722.00
0,19,3,-1.68,-2.91,1.46,-1.67,0,0,1781107.00
0,19,4,-2.32,1.93,-1.02,-1.28,1,1,1787580.00
0,19,5,1.70,-0.50,1.35,1.94,0,0,1793014.00
0,19,6,-0.23,-0.88,0.12,2.36,1,0,1802786.00
0,19,7,-1.78,0.16,-0.30,-1.36,1,0,1810395.00
0,19,8,-2.09,1.18,-0.22,-1.42,0,0,1815134.00
0,19,9,1.24,-1.24,0.96,1.18,1,0,1819617.00
0,20,0,-0.44,0.28,-1.13,-1.11,1,1,1829871.00
0,20,1,-0.54,0.28,-1.70,1.21,1,1,1839629.00
0,20,2,-1.16,1.26,1.01,1.91,1,0,1844841.00
0,20,3,0.11,-1.83,-0.51,1.05,1,0,1857135.00
0,20,4,-2.91,3.66,0.06,-1.18,0,0,1879585.00
0,20,5,-1.16,0.26,-2.34,1.89,1,0,1886059.00
0,20,6,1.31,-1.52,0.10,-1.24,1,1,1891290.00
0,20,7,-2.28,2.37,-2.07,-0.11,0,1,1895215.00
0,20,8,0.80,-1.26,-1.18,-1.11,0,1,1900719.00
0,20,9,-2.68,0.92,0.02,2.96,0,0,1923911.00
0,21,0,-3.63,1.65,-0.37,-0.99,1,1,1939433.00
0,21,1,0.72,-0.95,0.53,1.23,0,0,1945348.00
0,21,2,-1.89,0.54,-1.69,-1.08,1,1,1950181.00
